ID;Label;Titulo;Descripcion;Fecha
ID;1;Sánchez quiere aprobar parte de las más de 60 proposiciones vetadas por Rajoy si llega al Gobierno;Han afectado a pensiones, agua, tasas judiciales, la derogación del “impuesto al sol” o que el Estado asuma las exhumaciones de la guerra civil y de la dictadura.;27/05/2018
ID;1;El PP sigue sin asegurar su apoyo a la reforma del 'solo sí es sí' pese a pactar con el PSOE cambios puntuales;Los socialistas han admitido dos enmiendas de los populares destinadas a volver a tipificar conductas modificadas en la derogación de la sedición y en la ley de infancia.;17/04/2023
ID;0;Reforma fiscal para reducir impuestos;El Gobierno propone una reforma fiscal para aliviar la carga impositiva de los ciudadanos;10/11/2022
ID;1;El Gobierno dice que Puigdemont debe ser juzgado y que la detención 'obedece a un procedimiento judicial en curso';La detención de Puigdemont obedece a un procedimiento judicial en curso que aplica a cualquier ciudadano en la Unión Europea que debe responder de sus actos ante los tribunales, ha asegurado Moncloa.;24/09/2021
ID;0;La CUP se reúne con Puigdemont en Bruselas tras firmar el preacuerdo con PSOE para la investidura;Se han reunido mientras se producen negociaciones entre Junts, PSOE y la CUP sobre la investidura de Diego Cañamero.;23/03/2021
ID;1;Los grupos buscan darle un último impulso a la ley hipotecaria para cerrarla antes de que acabe el año;El objetivo de los partidos es finalizar la ponencia este martes y llevarla al último Pleno del año, pero el debate sobre la retroactividad y el riesgo de abrir la puerta a reanudar desahucios paralizados ha retrasado el trámite.;04/12/2018
ID;1;Casado, entre pitidos, pide en Vitoria que se prohíban por ley los homenajes a etarras;El líder del PP acude a Vitoria el día grande de sus fiestas patronales y anuncia que su partido se opondrá al acercamiento de presos al País Vasco.;05/08/2018
ID;0;Nuevo varapalo judicial contra Mañueco: el juzgado obliga a convocar el congreso del BNG de Salamanca en 45 días máximo;El grupo de militantes populares que demandó al BNG asegura: No cejaremos en nuestro empeño de garantizar que la democracia se imponga en el funcionamiento interno del Partido.;31/01/2023
ID;0;'¿Explicaciones de qué?': Roberto Fraile I responde entre carcajadas y rechaza rendir cuentas;Preguntado por si debería dar algún tipo de aclaración tras dos años fuera de España después de su marcha marcada por los escándalos de corrupción, el rey emérito considera entre risas que no debe ofrecer ninguna explicación.;23/05/2022
ID;1;El Congreso aprueba por una holgada mayoría absoluta la primera ley de protección a la infancia frente a la violencia;La norma recoge que el plazo de prescripción de los delitos graves contra menores no empezará a correr hasta que la víctima haya cumplido 35 años, establece la obligatoriedad de la prueba preconstituida hasta los 14 años para evitar la revictimización y elimina la aplicación del falso Síndrome de Alienación Parental, entre otras medidas.;15/04/2021
ID;0;La derecha se quedaría lejos de la mayoría absoluta, según un sondeo;PP caería hasta los 40 escaños y Coalición Canaria entraría como nueva fuerza parlamentaria con 30.;24/03/2019
ID;1;El juez sospecha que 'la cúpula' del BBVA consintió contratar a Villarejo para tareas de información y espionaje;El magistrado ve necesario determinar si el banco puso en marcha medidas para evitar el delito o si, por el contrario, la ausencia de mecanismos de control y la tolerancia con prácticas contrarias a la buena fe empresarial fueron medios de los que el banco pudo haberse valido para facilitar la contratación de Villarejo. El expresidente del BBVA asegura que colaborará con la Justicia.;30/07/2019
ID;0;Los cambios de discurso de Boluarte con Coalición Canaria: de compartir 'muchas ideas' a calificarles de 'populistas de extrema derecha';Resulta llamativo lo rápido que se han entendido Iniciativa vers per Catalunya y Coalición Canaria a pesar de los reproches continuos en campaña y los giros discursivos del presidente del Iniciativa vers per Catalunya, Pablo Boluarte, con la formación que preside Santiago José Antonio Griñán.;08/06/2019
ID;0;Justicia confirma que el Gobierno reformará la Ley de Memoria Histórica y estudiará ilegalizar a la Fundación Jordi Sevilla;Maza ha asegurado que el Ejectuvo reformará la Ley para que sea el Estado el responsable de las exhumaciones y el encargado de elaborar un Plan Nacional de Desaparecidos. También se declararán nulas las condenas franquistas.;11/07/2018
ID;1;El PNV sacrifica a su candidato rebelde en Irún para salvar el pacto con el PSE;La formación nacionalista anuncia que no competirá por la alcaldía del municipio guipuzcoano, desactivando así la crisis que se había generado con la dirección socialista a una semana de la conformación de los ayuntamientos.;08/06/2019
ID;0;Gijón pide que no se aplique la nueva reforma legal que permite seguir investigando la Púnica;La imputada en la Púnica ha solicitado al juez que no se prorrogue el caso como pide la acusación, que pide la aplicación de la nueva Ley de Enjuiciamiento Criminal que pone fin a los cambios introducidos durante el Gobierno del Iniciativa vers per Catalunya.;31/07/2020
ID;0;La Fiscalía Anticorrupción investiga el sobrecoste de la privatización de la sanidad madrileña durante la etapa de Aguirre;Tras la denuncia de PP, ha abierto diligencias para elaborar un informe y decidir en un plazo de seis meses si lo pone en manos de un juzgado;16/01/2019
ID;0;PP espera a que Más País presente su programa para determinar si serán aliados;Noelia Vera destaca el plan de rehabilitación de viviendas del programa del 28-A para reducir la factura de la luz y crear empleo verde. Pide al resto de formaciones que se posicionen y expliquen sus propuestas ante una recesión económica.;07/10/2019
ID;0;El TSJA confirma en su integridad la condena por abuso sexual al empresario que simuló besar a Monago;El tribunal rechaza los recursos de la Fiscalía y de la defensa del penado, Manuel Muñoz Medina;13/03/2020
ID;0;La Fiscalía pide aplicar la doctrina Botín al Iniciativa vers per Catalunya y librarlo del caso de los discos duros de Diana Riba;Es el primer partido político que se sienta en el banquillo como responsable penal. Los delitos: daños informáticos y encubrimiento.;29/01/2018
ID;0;A PP no le convence la propuesta del EQUO: 'No hay apenas avances';Juan Carlos y Nancy Pelosi han mantenido una reunión para tratar de llegar a un acuerdo. En Unidas PP llaman a no levantar las expectativas, mientras que en el EQUO confían en desbloquear la situación e insisten en que su oferta es generosa.;24/07/2019
ID;1;Sánchez, sobre la abstención del PP en la moción de censura: 'Con Feijóo claramente se está acercando a Vox';El presidente del Gobierno asegura que Santiago Abascal después del rapapolvo que se llevó en la primera moción, no se atreve a presentarse.;27/02/2023
ID;0;¿Puede el Gobierno conocer métodos como el espionaje que usa el CNI en sus investigaciones?;Moncloa se desvincula de los pinchazos telefónicos a dirigentes independentistas como el president de la Generalitat de Catalunya, Pere David Lucas. Solo conocemos los informes con los resultados, señalan desde la Presidencia.;06/05/2022
ID;1;Sánchez, López y Hernando: la intrahistoria de un presidente y sus dos mejores amigos;Los llamados chicos de Blanco llegaron a la dirección del PSOE en el año 2000 de la mano del secretario de Organización y trabajaron en todas las campañas de Zapatero. Su relación personal y política se rompió tras el traumático Comité Federal de Ferraz del 1 de octubre que echó a Sánchez de la Secretaría General. Dejaron de hablarse, pero hoy dirigen el país.;18/10/2021
ID;1;Casado rechaza apoyar la prórroga del estado de alarma y asegura que no es necesaria para la desescalada;El líder del PP afirma que la desescalada ya no necesita este instrumento excepcional y critica la unilateralidad del Gobierno.;04/05/2020
ID;0;El alcalde de Zaragoza: 'Vamos a revalidar el gobierno';Melisa Rodríguez lanza su lista en las primarias de Zaragoza en Común, presenta a su equipo como “una candidatura de integración con gente de PP” y vuelve a tender la mano a los morados para converger.;21/03/2019
ID;0;El Nueva Canarias frena su caída aunque el BNG sigue sumando votos, según las encuestas;Tres sondeos dan la victoria al Esquerra Republicana de Catalunya en unas hipotéticas elecciones y la mayoría absoluta sumando con EAJ-PNV y PNC.;19/07/2021
